Reference, Quantity, Value, Footprint, Datasheet, LCSC Part #, Digi-Key Part
C1 C3 ,2,"1uF","Capacitor_SMD:C_0805_2012Metric","","C28323",""
D1 ,1,"RED LED","LED_THT:LED_D3.0mm","","","732-5005-ND"
D2 D4 ,2,"GREEN LED","LED_THT:LED_D3.0mm","","","732-5008-ND"
D3 ,1,"YELLOW LED","LED_THT:LED_D3.0mm","","","732-5010-ND"
D5 ,1,"BLUE LED","LED_THT:LED_D3.0mm","","","160-1035-ND"
J1 ,1,"EXP","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical_SMD","","C124391","S2011EC-05-ND"
J2 ,1,"USB_B_Micro","Connector_USB:USB_Micro-B_Wuerth_614105150721_Vertical","","","2073-USB3131-30-0230-ACT-ND"
J3 ,1,"USB_A","sputterizer:USB_A_Amphenol_UE27AE54100_Vertical"," ~","C718031","UE27AE54100-ND"
N1 N2 ,2,"Nut","MountingHole:MountingHole_2.5mm","","","36-4687-ND"
Q3 ,1,"2N7002","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","C8545",""
Q4 ,1,"MMBT5401","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF","C8326",""
R1 ,1,"100","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","C17408",""
R2 ,1,"75","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","C17820",""
R3 ,1,"1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","C17513",""
R4 ,1,"68","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","C17802",""
R5 ,1,"47","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","C17714",""
R6 R9 ,2,"10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","C17414",""
R7 ,1,"30K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","C17621",""
R8 ,1,"43K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","C17695",""
SC1 SC2 ,2,"Screw","MountingHole:MountingHole_2.5mm","","","145-50M025045G004-ND"
SO1 SO2 ,2,"Stand-off","MountingHole:MountingHole_2.5mm","","","1772-2756-ND"
SW1 ,1,"Reset","Button_Switch_THT:SW_PUSH_6mm","","","450-1940-ND"
U1 ,1,"74AHC14","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://assets.nexperia.com/documents/data-sheet/74AHC_AHCT04.pdf","C5605",""
W1 W2 ,2,"Washer","MountingHole:MountingHole_2.5mm","","","RPC3448-ND"
