"Reference","Quantity","Value","Digi-Key Part #"
"C1, C3, ","2","1uF","1276-1066-1-ND"
"D1, ","1","RED LED","732-5005-ND"
"D2, D4, ","2","GREEN LED","732-5008-ND"
"D3, ","1","YELLOW LED","732-5010-ND"
"D5, ","1","BLUE LED","160-1035-ND"
"J1, ","1","EXP","S2011EC-05-ND"
"J2, ","1","USB_B_Micro","2073-USB3131-30-0230-ACT-ND"
"J3, ","1","USB_A","UE27AE54100-ND"
"N1, N2, ","2","Nut","36-4687-ND"
"Q3, ","1","2N7002","4878-2N7002CT-ND"
"Q4, ","1","MMBT3906","MMBT3906LT1GOSCT-ND"
"R1, R2, R4, R5, ","4","620","RMCF0805FT620RCT-ND"
"R3, ","1","1K","311-1.00KCRCT-ND"
"R6, R9, ","2","10K","RMCF0805FT10K0CT-ND"
"R7, R8, ","2","30K","RMCF0805FT30K0CT-ND"
"SC1, SC2, ","2","Screw","145-50M025045G004-ND"
"SO1, SO2, ","2","Stand-off","1772-2756-ND"
"SW1, ","1","Reset","450-1940-ND"
"U1, ","1","74AHC14","296-9179-1-ND"
"W1, W2, ","2","Washer","RPC3448-ND"
