"Designator","Comment","Footprint","JLCPCBPart#"
"C1, C3, ","1uF","Capacitor_SMD:C_0805_2012Metric","C28323"
"J1, ","EXP","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical_SMD","C124391"
"J3, ","USB_A","sputterizer:USB_A_Amphenol_UE27AE54100_Vertical","C718031"
"Q3, ","2N7002","Package_TO_SOT_SMD:SOT-23","C8545"
"Q4, ","MMBT5401","Package_TO_SOT_SMD:SOT-23","C8326"
"R1, ","100","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17408"
"R2, ","75","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17820"
"R3, ","1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17513"
"R4, ","68","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17802"
"R5, ","47","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17714"
"R6, R9, ","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17414"
"R7, ","30K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17621"
"R8, ","43K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17695"
"U1, ","74AHC14","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C5605"
