Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric",-55.275000,-105.700000,0.000000,bottom
"C3","1uF","C_0805_2012Metric",-51.075000,-146.750000,-90.000000,bottom
"J1","EXP","PinHeader_2x05_P2.54mm_Vertical_SMD",-55.025000,-113.600000,0.000000,bottom
"J3","USB_A","USB_A_Amphenol_UE27AE54100_Vertical",-55.625000,-134.325000,90.000000,bottom
"Q3","2N7002","SOT-23",-51.800000,-150.625000,-90.000000,bottom
"Q4","MMBT5401","SOT-23",-58.200000,-149.375000,90.000000,bottom
"R1","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-53.750000,-98.775000,-90.000000,bottom
"R2","75","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-54.750000,-75.900000,180.000000,bottom
"R3","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-55.850000,-143.775000,180.000000,bottom
"R4","68","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-54.725000,-94.275000,180.000000,bottom
"R5","47","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-54.725000,-79.550000,180.000000,bottom
"R6","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-53.100000,-146.700000,-90.000000,bottom
"R7","30K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-52.050000,-143.775000,180.000000,bottom
"R8","43K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-58.925000,-155.225000,-90.000000,bottom
"R9","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-58.050000,-152.325000,0.000000,bottom
"U1","74AHC14","SOIC-14_3.9x8.7mm_P1.27mm",-54.900000,-87.025000,-90.000000,bottom
