Reference, Quantity, Value, Footprint, Datasheet, Digi-Key Part, LCSC Part #
C1 C3 ,2,"1uF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","","399-9886-1-ND","C94708"
D1 ,1,"RED LED","LED_THT:LED_D3.0mm","","732-5005-ND",""
D2 D4 ,2,"GREEN LED","LED_THT:LED_D3.0mm","","732-5008-ND",""
D3 ,1,"YELLOW LED","LED_THT:LED_D3.0mm","","732-5010-ND",""
D5 ,1,"BLUE LED","LED_THT:LED_D3.0mm","","160-1035-ND",""
J1 ,1,"EXP","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","","S2011EC-05-ND","C225520"
J2 ,1,"USB_B_Micro","Connector_USB:USB_Micro-B_Wuerth_614105150721_Vertical","","2073-USB3131-30-0230-ACT-ND",""
J3 ,1,"USB_A","sputterizer:USB_A_Amphenol_UE27AE54100_Vertical"," ~","UE27AE54100-ND","C386737"
N1 N2 N3 N4 ,4,"Nut","MountingHole:MountingHole_2.5mm","","36-4687-ND",""
Q3 ,1,"2N7000","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","2N7000FS-ND","C232838"
Q4 ,1,"2N3906","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF","2N3906TFCT-ND","C9809"
R1 R2 R4 R5 ,4,"620","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","CF14JT620RCT-ND","C120050"
R3 ,1,"1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","","CF14JT1K00CT-ND","C120055"
R6 R9 ,2,"10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","CF14JT10K0CT-ND","C433778"
R7 ,1,"30K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","","CF14JT30K0CT-ND","C176499"
R8 ,1,"30K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","CF14JT30K0CT-ND","C176499"
SC1 SC2 SC3 SC4 ,4,"Screw","MountingHole:MountingHole_2.5mm","","145-50M025045G004-ND",""
SK1 ,1,"A_14-LC-TT","Package_DIP:DIP-14_W7.62mm_Socket","http://www.assmann-wsw.com/fileadmin/datasheets/ASS_0810_CO.pdf","AE9989-ND","C132508"
SO1 SO2 SO3 SO4 ,4,"Stand-off","MountingHole:MountingHole_2.5mm","","1772-2756-ND",""
SW1 ,1,"Reset","Button_Switch_THT:SW_PUSH_6mm","","450-1940-ND",""
U1 ,1,"74HC14","Package_DIP:DIP-14_W7.62mm_Socket","https://assets.nexperia.com/documents/data-sheet/74AHC_AHCT04.pdf","TC74HC14APF-ND",""
W1 W2 W3 W4 ,4,"Washer","MountingHole:MountingHole_2.5mm","","RPC3448-ND",""
