"Reference","Quantity","Value","Digi-Key Part #"
"D1, ","1","RED LED","732-5005-ND"
"D2, D4, ","2","GREEN LED","732-5008-ND"
"D3, ","1","YELLOW LED","732-5010-ND"
"D5, ","1","BLUE LED","160-1035-ND"
"J2, ","1","USB_B_Micro","2073-USB3131-30-0230-ACT-ND"
"N1, N2, N3, N4, ","4","Nut","36-4687-ND"
"SC1, SC2, SC3, SC4, ","4","Screw","145-50M025045G004-ND"
"SO1, SO2, SO3, SO4, ","4","Stand-off","1772-2756-ND"
"SW1, ","1","Reset","450-1940-ND"
"U1, ","1","74HC14","TC74HC14APF-ND"
"W1, W2, W3, W4, ","4","Washer","RPC3448-ND"
