"Reference","Quantity","Value","Digi-Key Part #"
"A1, ","1","Arduino_Nano_RP2040_Connect","1050-ABX00053-ND"
"C1, C2, ","2","100uF","399-EDH107M016A9GAACT-ND"
"C3, C4, C5, C6, C8, C9, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C27, C28, C29, C30, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C52, C53, C54, C55, ","37","100nF","478-10836-1-ND"
"C7, C31, C43, ","3","1uF","311-1888-1-ND"
"C11, C12, C13, C26, C44, C45, C46, C47, C48, C49, C50, C51, ","12","10nF","311-1136-1-ND"
"D1, D2, D3, D4, D5, D6, D7, D8, D13, D14, D15, D16, D17, D18, D39, D40, D41, D42, D45, D46, ","20","1N5819","478-7800-1-ND"
"D9, D19, D20, D21, D22, D23, D24, D29, D30, D31, D32, ","11","BLUE LED","732-11401-ND"
"D10, ","1","YELLOW LED","732-5010-ND"
"D11, D25, D26, D27, D28, D33, D34, D35, D36, D37, D38, ","11","RED LED","732-5005-ND"
"D12, ","1","GREEN LED","732-5007-ND"
"J1, J2, J3, J4, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, ","14","3.5mm Jack","WM17366-ND"
"J5, ","1","Display Header","SAM1011-04-ND"
"J6, ","1","EU Power","S2011EC-05-ND"
"J7, ","1","Expansion Header","S2011EC-05-ND"
"J18, J19, ","2","Conn_01x15_Female","S7048-ND"
"J20, ","1","Conn_01x02_Male","609-4938-ND"
"J21, ","1","OLED Pins","732-5317-ND"
"N1, N2, N3, N4, N5, N6, ","6","Nut","36-4687-ND"
"R1, R2, R3, R4, R32, R37, R38, R39, R56, R57, R66, R67, R68, R69, R70, R71, R72, R97, R98, R99, R100, R125, R126, R127, R128, R141, ","26","10K","13-RC0805JR-1010KLCT-ND"
"R5, R6, R7, R8, ","4","1K","RNCP0805FTD1K00CT-ND"
"R9, ","1","200K .1%","P200KDACT-ND"
"R10, ","1","68K","311-68KARCT-ND"
"R11, R12, R13, R14, R15, R16, R17, R18, R19, R40, R41, R42, R43, R44, R45, R46, R47, R61, R62, R63, R64, R65, R73, R74, R75, R78, R142, R143, ","28","100K .1%","YAG1759CT-ND"
"R20, R21, R22, R23, R48, R49, R50, R51, R58, ","9","33K","RMCF0805JT33K0CT-ND"
"R24, R25, R26, R27, R52, R53, R54, R55, ","8","332K .1%","P332KDACT-ND"
"R28, R33, ","2","30.1K .1%","P332KDACT-ND"
"R30, R35, ","2","4.7K","RMCF0805FT4K70CT-ND"
"R59, R60, ","2","680","RMCF0805JT20K0CT-ND"
"R76, R79, R80, R81, R82, ","5","1K","RNCP0603FTD1K00CT-ND"
"SC1, SC2, SC3, SC4, ","4","Screw","145-50M025045P006-ND"
"SO1, SO2, SO3, SO4, SO5, SO6, SO7, SO8, SO9, SO10, SO11, SO12, SO13, SO14, SO15, SO16, SO17, SO18, SO19, SO20, SO21, SO22, SO23, SO24, ","24","LED_Standoff","732-11607-ND"
"SO25, SO26, SO27, SO28, ","4","Board Standoff","732-13063-ND"
"SO29, SO30, ","2","DisplayStandoff","732-13055-ND"
"SW1, SW2, SW3, SW4, SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, ","16","Push Button","450-1643-ND"
"SW5, ","1","Adj","987-1187-ND"
"TP1, TP2, ","2","TestPoint","36-5006-ND"
"TP3, TP4, ","2","TestPoint","36-5002-ND"
"U1, U4, U9, U10, U12, U14, U17, U18, ","8","TL072CDR","296-47385-1-ND"
"U2, U5, U8, U19, ","4","TL072CDR","296-47385-1-ND"
"U6, ","1","AD5328","505-AD5328ARUZ-REEL7CT-ND"
"U15, ","1","AS431HANTR","AS431HANTR-G1DICT-ND"
"U16, ","1","MB85RC256","865-1261-1-ND"
"U21, ","1","MCP23008-xSS","MCP23008-E/SS-ND"
