"Reference","Quantity","Value","Digi-Key Part #"
"A1, ","1","Arduino_Nano_RP2040_Connect","1050-ABX00053-ND"
"D9, D19, D20, D21, D22, D23, D24, D29, D30, D31, D32, ","11","BLUE LED","732-11401-ND"
"D10, ","1","YELLOW LED","160-1961-ND"
"D11, D25, D26, D27, D28, D33, D34, D35, D36, D37, D38, ","11","RED LED","732-5005-ND"
"D12, ","1","GREEN LED","732-5008-ND"
"J1, J2, J3, J4, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, ","14","3.5mm Jack","WM17366-ND"
"J5, ","1","Display Header","SAM1011-04-ND"
"J21, ","1","OLED Pins","732-5317-ND"
"N1, N2, N3, N4, N5, N6, ","6","Nut","36-4687-ND"
"SC1, SC2, SC3, SC4, ","4","Screw","145-50M025045P006-ND"
"SO1, SO2, SO3, SO4, SO5, SO6, SO7, SO8, SO9, SO10, SO11, SO12, SO13, SO14, SO15, SO16, SO17, SO18, SO19, SO20, SO21, SO22, SO23, SO24, ","24","LED_Standoff","732-11607-ND"
"SO25, SO26, SO27, SO28, ","4","Board Standoff","732-13063-ND"
"SO29, SO30, ","2","DisplayStandoff","732-13055-ND"
"SW1, SW2, SW3, SW4, SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, ","16","Push Button","450-1643-ND"
"SW5, ","1","Adj","987-1187-ND"
